"x";"y";"moran";"distance";"entropy";"slope"
"511";7701;101;0.0561392798208731;0.00971609454277831;0.890754135030695;-1.0060965575954
"512";7751;101;0.0550083051045662;0.00912883274449427;0.888965026550372;-0.994540987125264
"513";7801;101;0.0518795219972535;0.00955638275646341;0.876763925818882;-0.982899185391634
"514";7851;101;0.0381162992197887;0.0065595469309799;0.887067399100871;-0.953759087417589
"515";7901;101;0.0330318197592064;0.00456621308080021;0.869661696501956;-0.995233688684195
"516";7951;101;0.0346191757540046;0.00571943682157464;0.88317179344975;-1.03016620448077
"517";8001;101;0.0294783191949231;0.00545442025212384;0.911686402284173;-0.963792594259562
"518";8051;101;0.0985922050816027;0.0968299818432657;0.940248369747408;-0.862219217725841
"519";8101;101;0.0441860100849852;0.00477532833600383;0.776157138232504;-0.951036224344479
"520";8151;101;0.0463118126433167;0.00512746170321011;0.790703496858019;-1.0459225546382
"521";8201;101;0.0452081377483384;0.00481132150341459;0.787609315111353;-1.09592603280584
"522";8251;101;0.0448188242981967;0.00580258073644648;0.790453495044003;-1.09187056215397
"523";8301;101;0.0344743177112679;0.00371675629711925;0.855785107010924;-1.02817351471026
"524";8351;101;0.0499682129036118;0.00681550447834392;0.797650186702533;-0.946465572084447
"525";8401;101;0.0515777830797725;0.00649818818718329;0.763783087254634;-1.03898191385373
"526";8451;101;0.05543700203793;0.00421298200836736;0.699831159811953;-1.39940875154946
"527";8501;101;0.0686439848234927;0.00847110559001443;0.670117520753624;-1.22855709412424
"528";8551;101;0.0548244267230775;0.00486083752871985;0.699949972780571;-1.06551540540159
"529";8601;101;0.056352909227477;0.0210858986990641;0.716954896269828;-1.17111416552406
"530";8651;101;0.0513272520142378;0.017827149751242;0.736515200770534;-1.00190825157527
"531";8701;101;0.0379753666022381;0.0020547602010015;0.632330164837192;-1.19727063806587
"532";8751;101;0.0376811163327028;0.00234392941500999;0.67841914594293;-1.25565347997068
"533";8801;101;0.0379127498465344;0.0028688585144959;0.706974262141718;-1.30265113833548
"534";8851;101;0.0383720631532982;0.00323269257212004;0.725833627524802;-1.34309166540009
"535";1;151;NA;NA;NA;NA
"536";51;151;NA;NA;NA;NA
"537";101;151;NA;NA;NA;NA
"538";151;151;NA;NA;NA;NA
"539";201;151;NA;NA;NA;NA
"540";251;151;NA;NA;NA;NA
"541";301;151;NA;NA;NA;NA
"542";351;151;NA;NA;NA;NA
"543";401;151;NA;NA;NA;NA
"544";451;151;NA;NA;NA;NA
"545";501;151;NA;NA;NA;NA
"546";551;151;NA;NA;NA;NA
"547";601;151;NA;NA;NA;NA
"548";651;151;NA;NA;NA;NA
"549";701;151;NA;NA;NA;NA
"550";751;151;NA;NA;NA;NA
"551";801;151;NA;NA;NA;NA
"552";851;151;NA;NA;NA;NA
