IRIS;COM;DEP;NBUC11;RFUCQ111;RFUCQ211;RFUCQ311;RFUCIQ11;RFUCD111;RFUCD211;RFUCD311;RFUCD411;RFUCD611;RFUCD711;RFUCD811;RFUCD911;RFUCRD11;RFUCET11;RFUCGI11
751093302;75056;75;1340,9;24238;42447;66319;42081;13688;20732;27730;34643;50714;60789;74648;111060;8,1;74702,49;0,4811
751093303;75056;75;1400,9;23017;39736;63072;40055;11258;19560;25770;31937;47211;56762;71287;109191;9,7;59978,57;0,4672
751093304;75056;75;1707,4;24142;43303;69364;45222;12401;20429;27850;35130;50556;62158;76346;108549;8,8;102523,74;0,4876
751093305;75056;75;1501,1;23038;40886;64246;41208;11462;19756;25654;33969;47961;57826;74262;106263;9,3;71909,42;0,4663
751093306;75056;75;1725,5;19679;35540;56388;36709;8534;16404;22603;29087;41888;51247;62460;87772;10,3;50824,48;0,4432
751093307;75056;75;2351,0;18299;33417;56808;38509;7984;15087;21188;27275;40559;50978;62446;85785;10,7;53780,35;0,4650
751093308;75056;75;1543,2;10336;24894;41792;31456;5252;8980;13284;18328;31332;38034;46374;62968;12,0;29690,93;0,4584
751093309;75056;75;1545,6;14003;28374;51357;37354;5712;11037;16555;22663;36877;46259;59436;84023;14,7;51744,69;0,4962
751093310;75056;75;1230,0;22064;39608;64429;42365;10728;17915;25114;32582;47271;55873;71188;101774;9,5;139846,66;0,5033
751093311;75056;75;463,6;12161;23645;40383;28222;;;;;;;;;;;
751093401;75056;75;159,9;11547;20639;38347;26800;;;;;;;;;;;
751093402;75056;75;;;;;;;;;;;;;;;;
751093403;75056;75;884,5;22781;42164;72894;50113;;;;;;;;;;;
751093404;75056;75;;;;;;;;;;;;;;;;
751093405;75056;75;278,9;14421;25753;42803;28382;;;;;;;;;;;
751093406;75056;75;;;;;;;;;;;;;;;;
751093407;75056;75;764,0;15257;31370;53437;38180;;;;;;;;;;;
751093408;75056;75;555,1;13465;26356;48733;35268;;;;;;;;;;;
751093409;75056;75;368,6;17228;35552;55982;38754;;;;;;;;;;;
751093501;75056;75;2282,0;13189;27032;47087;33898;6100;10197;16338;21836;34578;42106;53037;75677;12,4;58762,54;0,4986
751093502;75056;75;1406,7;16320;32057;54589;38269;7219;13670;19654;25477;39037;49112;60058;85953;11,9;54320,77;0,4758
751093503;75056;75;2869,1;16698;32290;51168;34470;8096;13567;20352;26200;38504;46212;57898;82939;10,2;57007,03;0,4637
751093504;75056;75;1165,6;15780;32089;53811;38031;7471;12781;18327;25806;39425;49121;61351;92074;12,3;46129,89;0,4702
751093601;75056;75;1659,6;18134;32171;50792;32658;8903;15618;20496;26674;39278;46247;57990;81584;9,2;39881,62;0,4316
751093602;75056;75;2011,4;14620;28254;45009;30389;6039;12277;17408;22115;33774;40555;50934;67780;11,2;42950,59;0,4459
751093603;75056;75;1329,9;14411;27631;43086;28675;6228;11771;17622;22572;32042;39420;48157;69123;11,1;38974,62;0,4582
751093604;75056;75;1480,9;16832;30161;49419;32587;8034;14562;19619;25421;37161;43465;53567;72217;9,0;52854,09;0,4518
751093605;75056;75;1738,2;18764;31699;48513;29749;9355;16362;21575;26401;36910;44403;53536;73402;7,8;34974,13;0,4037
751093606;75056;75;1550,5;20382;34068;52406;32024;9819;16798;22959;28778;40675;48145;60473;79421;8,1;45539,16;0,4253
751093607;75056;75;1759,1;14785;28369;44791;30006;6557;11283;16999;22759;34437;40606;50237;65415;10,0;66036,29;0,4726
751093608;75056;75;1850,0;20241;34783;57201;36960;9298;16745;22649;28041;42484;51227;63631;89117;9,6;59288,14;0,4601
751093609;75056;75;1563,8;19029;33614;53465;34436;7817;16083;22213;28299;40642;48521;59600;78336;10,0;47981,79;0,4336
751093610;75056;75;1797,6;15945;28293;44159;28214;6730;12387;18401;23452;34434;39744;47963;62150;9,2;25734,57;0,3964
751103701;75056;75;1715,4;13647;25552;40869;27222;6301;11260;16211;20828;30487;37040;45136;57901;9,2;28574,85;0,4169
751103702;75056;75;1459,2;11697;24308;37577;25880;5755;9267;14575;18967;29823;34864;40811;51639;9,0;22879,60;0,4075
751103703;75056;75;1949,4;11142;24546;38977;27835;5798;9119;13369;18656;29437;35027;42876;53822;9,3;27775,85;0,4220
751103704;75056;75;2251,2;16113;30271;46594;30481;5791;12739;18856;25115;36113;42978;52159;69247;12,0;32999,44;0,4210
751103705;75056;75;1885,6;16868;32828;50261;33393;7709;13626;20776;26667;38339;45832;55436;74497;9,7;38493,47;0,4250
751103706;75056;75;2016,8;14606;27562;43401;28795;6190;11372;18010;22748;33267;39825;47365;60546;9,8;31355,66;0,4111
751103707;75056;75;1632,6;9648;21086;35607;25959;4614;8094;12034;16519;26437;32431;39262;50389;10,9;37198,83;0,4530
751103708;75056;75;1443,1;12797;25657;39981;27184;5754;10259;15730;21188;30623;36399;43883;55681;9,7;21492,59;0,3912
751103709;75056;75;1657,4;10777;21010;33704;22927;5292;8998;12894;16714;25783;30687;35918;45525;8,6;25826,44;0,4074
751103711;75056;75;;;;;;;;;;;;;;;;
751103712;75056;75;458,3;16579;29708;42769;26190;;;;;;;;;;;
751103801;75056;75;1504,1;11216;23873;38572;27356;4594;8143;13897;17838;29216;36018;41487;55109;12,0;24162,84;0,4272
751103802;75056;75;1553,6;7171;13944;31723;24552;3334;6001;8017;10907;18406;26741;35519;50004;15,0;57029,59;0,5243
751103803;75056;75;2292,5;13481;26939;44144;30663;5755;10208;15713;21146;33407;39815;48410;67639;11,8;34231,83;0,4512
751103804;75056;75;2395,7;11117;25675;43292;32175;4950;8825;14051;19706;31757;39413;49641;68417;13,8;33482,46;0,4647
751103805;75056;75;1943,2;14132;24946;40817;26685;6110;10979;16397;20720;29715;36264;45892;63199;10,3;28198,46;0,4298
751103806;75056;75;2699,3;15198;29998;48339;33141;6563;12275;18140;23536;38018;44186;54027;73914;11,3;40571,56;0,4405
751103901;75056;75;1361,4;14942;28356;44044;29102;6079;12498;17329;23079;33687;39705;50099;64778;10,7;32419,42;0,4295
751103902;75056;75;1896,3;15117;28176;44131;29014;7001;11972;17359;22936;34340;40342;49983;65517;9,4;32495,15;0,4229
751103903;75056;75;1322,9;15683;27248;41933;26250;7188;13242;19148;23215;32120;37251;46405;60994;8,5;25613,43;0,3927
751103904;75056;75;1599,3;15575;28318;46645;31070;7811;12817;18164;22731;34696;42298;52322;72443;9,3;32463,58;0,4225
751103905;75056;75;1602,4;9694;23489;39454;29760;5562;8069;12378;17629;28933;35242;44709;62388;11,2;28910,32;0,4616
751103906;75056;75;2004,2;11890;23786;38621;26731;6081;9917;14379;18779;29413;35520;42036;55605;9,1;33685,23;0,4333
751103907;75056;75;1527,9;13463;23197;39266;25803;5544;10818;15168;18851;28897;35125;43707;57739;10,4;23528,77;0,4134
751103908;75056;75;2482,4;11945;23264;38803;26858;5442;10060;14110;18726;29187;35149;43427;59276;10,9;84944,49;0,4864
751103909;75056;75;1679,0;12499;24158;39139;26640;5847;10620;14718;19120;29682;35453;44196;57111;9,8;30177,28;0,4356
751103910;75056;75;1722,0;12746;26272;41009;28263;5379;10377;15687;21050;31323;37029;45800;63196;11,7;29611,71;0,4369
751104001;75056;75;2041,4;8090;14229;26847;18757;4552;7190;9268;11369;18841;24233;30531;42487;9,3;44484,58;0,4974
751104002;75056;75;2473,2;8627;15299;27266;18639;4244;7022;9873;11995;19610;24634;30210;41679;9,8;19804,73;0,4316
751104003;75056;75;2085,8;9907;19646;33613;23706;5045;8029;11899;15588;24951;30909;37935;49762;9,9;22187,58;0,4309
751104004;75056;75;1353,8;7945;15829;30096;22151;4094;6862;8861;12581;20908;26946;34302;43907;10,7;24521,29;0,4716
751104005;75056;75;1401,6;6711;11974;22207;15496;3280;5604;7677;9698;15143;19352;25993;34279;10,5;13283,84;0,4323
